id,gesture_name,timestamp,ax,ay,az,gx,gy,gz,p0,p1,p2,p3
1,1,3549,0.00,0.00,1.00,0.10,0.17,0.01,3711,4020,3650,4095
1,1,292034,-0.00,0.00,1.01,0.00,0.23,0.14,3689,4019,3651,3920
2,1,292056,0.00,-0.00,1.00,-0.36,-0.03,-0.03,3683,4028,3654,3792
3,1,292078,-0.00,-0.00,1.00,-0.12,-0.52,0.12,3696,4026,3659,3732
1,2,3549,-0.05,0.02,0.79,80.48,-58.89,1.22,4095,4095,4095,0
1,2,3571,-0.10,0.01,0.95,-24.03,-22.62,18.71,4095,4095,4095,233
1,5,3593,-0.09,-0.03,1.02,-4.93,-13.20,19.74,4095,4095,4095,479
2,1,3615,-0.05,-0.10,0.83,0.74,2.44,40.34,4095,4095,4095,896
2,1,3549,0.00,0.01,1.00,0.21,-0.00,0.21,4095,3790,4095,4095
