id,gesture_name,timestamp,ax,ay,az,gx,gy,gz,p0,p1,p2,p3
1,2,207166,0.92,0.73,0.89,4.35,-0.72,3.85,3871,3694,4095,4095
1,2,207178,0.92,0.74,0.9,3.58,-0.67,2.78,3840,3698,4095,4095
1,2,207190,0.92,0.73,0.89,1.34,-3.31,1.49,3856,3696,4095,4095
1,2,207202,0.93,0.73,0.89,0.61,-7.48,-1.45,3843,3698,4095,4095
1,2,207214,0.9,0.73,0.88,-0.69,-9.22,-2.16,3857,3696,4095,4095
1,2,207226,0.88,0.73,0.89,-0.42,-7.3,-1.4,3835,3695,4095,4095
1,2,207238,0.9,0.73,0.88,1.2,-6.4,-1.14,3843,3696,4095,4095
1,2,207250,0.94,0.73,0.87,1.45,-7.22,-2.16,3842,3700,4095,4095
1,2,207262,0.94,0.74,0.87,0.68,-8.17,-3.23,3840,3696,4095,4095
1,2,207274,0.95,0.74,0.87,0.29,-9.1,-3.9,3854,3701,4095,4095
1,2,207286,0.95,0.75,0.87,0.23,-10.72,-3.78,3847,3701,4095,4095
1,2,207298,0.92,0.72,0.83,-0.69,-7.85,1.58,3856,3696,4095,4095
1,2,207310,0.95,0.75,0.79,-0.78,-11.63,1.16,3856,3703,4095,4095
1,2,207322,0.88,0.73,0.83,-1.74,-7.68,2.42,3826,3700,4095,4095
1,2,207334,0.89,0.71,0.87,-0.28,-5.19,6.28,3890,3699,4095,4095
1,2,207346,0.88,0.73,0.93,-1.99,-1.43,7.3,3853,3696,4095,4095
1,2,207358,0.97,0.74,0.91,-1.5,-2.17,1.04,3857,3699,4095,4095
1,2,207370,0.94,0.74,0.86,-3.53,-4.27,-4.36,3853,3696,4095,4095
1,2,207382,0.92,0.74,0.82,-1.87,-8.49,-8.88,3855,3694,4095,4095
1,2,207394,0.95,0.75,0.83,-2.84,-6.24,-7.81,3856,3703,4095,4095
1,2,207406,0.92,0.77,0.83,-1.97,-5.14,-6.87,3866,3703,4095,4095
1,2,207418,0.95,0.77,0.84,-1.42,-2.69,-0.48,3888,3705,4095,4095
1,2,207430,0.98,0.75,0.83,-0.48,-0.98,4.42,3856,3699,4095,4095
1,2,207442,0.98,0.75,0.85,0.29,0.55,7.36,3856,3707,4095,4095
1,2,207454,0.95,0.73,0.85,0.59,0.12,9.64,3813,3700,4095,4095
1,2,207466,0.92,0.73,0.85,0.13,-0.98,8.52,3863,3698,4095,4095
1,2,207478,0.91,0.73,0.84,-0.98,-1.28,7.3,3859,3696,4095,4095
1,2,207490,0.93,0.71,0.86,-2.14,-2.7,4.33,3861,3700,4095,4095
1,2,207502,0.91,0.73,0.85,-1.94,-3.65,-0.42,3849,3697,4095,4095
1,2,207514,0.92,0.72,0.85,-3.35,-3.72,-3.2,3837,3698,4095,4095
1,2,207526,0.92,0.72,0.85,-1.59,-4.53,-4.71,3862,3700,4095,4095
1,2,207538,0.95,0.73,0.85,-1.13,-4.29,-5.02,3851,3696,4095,4095
1,2,207550,0.95,0.74,0.85,-0.72,-5.37,-4.12,3863,3695,4095,4095
1,2,207562,0.94,0.76,0.87,-0.09,-7.22,-1.28,3839,3695,4095,4095
1,2,207574,0.93,0.75,0.84,-1.35,-7.79,1.61,3847,3694,4095,4095
1,2,207586,0.93,0.75,0.85,-2.11,-11.82,4.68,3837,3698,4095,4095
1,2,207598,0.9,0.74,0.82,-1.36,-12.2,6.26,3878,3696,4095,4095
1,2,207610,0.91,0.73,0.84,-1.64,-10.08,6.6,3849,3698,4095,4095
1,2,207622,0.93,0.71,0.82,-2.11,-9.04,3.58,3842,3699,4095,4095
1,2,207634,0.91,0.73,0.82,-1.51,-8.46,-0.53,3844,3697,4095,4095
1,2,207646,0.92,0.73,0.81,-1.65,-9.34,-1.98,3846,3696,4095,4095
1,2,207658,0.93,0.73,0.82,-1.8,-9.22,-2.47,3883,3697,4095,4095
1,2,207670,0.92,0.74,0.83,-1.61,-7.37,-0.59,3856,3700,4095,4095
1,2,207682,0.91,0.74,0.82,-2.57,-3.25,2.74,3873,3699,4095,4095
1,2,207694,0.94,0.74,0.82,-1.65,-1.19,3.21,3858,3700,4095,4095
1,2,207706,0.91,0.73,0.81,-3.73,1.63,2.68,3856,3695,4095,4095
1,2,207718,0.92,0.72,0.81,-3.58,0.26,0.58,3856,3696,4095,4095
1,2,207730,0.93,0.73,0.79,-3.88,0.61,-2.65,3875,3703,4095,4095
1,2,207742,0.96,0.74,0.81,-2.55,0.89,-7.64,3874,3712,4095,4095
1,2,207754,0.94,0.73,0.8,-2.9,3.42,-8.96,3857,3692,4095,4095
1,2,207766,0.94,0.74,0.82,-2.16,3.18,-5.38,3853,3703,4095,4095
1,2,207778,0.95,0.75,0.82,-1.68,3.45,-1.06,3846,3701,4095,4095
1,2,207790,0.94,0.76,0.83,-0.81,4.64,2.78,3857,3696,4095,4095
1,2,207802,0.93,0.74,0.84,-0.11,5.27,5.82,3857,3699,4095,4095
1,2,207814,0.91,0.73,0.83,-0.19,4.87,7.07,3855,3684,4095,4095
1,2,207826,0.92,0.73,0.84,-0.29,3.13,5.1,3851,3695,4095,4095
1,2,207838,0.92,0.73,0.83,-1,1.44,1.15,3855,3698,4095,4095
1,2,207850,0.91,0.73,0.83,-1.26,0.14,-1.45,3852,3697,4095,4095
1,2,207862,0.92,0.73,0.83,-0.98,-0.73,-3.35,3863,3694,4095,4095
1,2,207874,0.91,0.74,0.83,-1.33,-0.21,-3.9,3838,3702,4095,4095
1,2,207886,0.92,0.74,0.83,-1.07,1.24,-2.3,3842,3696,4095,4095
1,2,207898,0.95,0.74,0.83,-1.1,2.17,-0.55,3869,3696,4095,4095
1,2,207910,0.92,0.73,0.83,-0.93,2.23,0.87,3835,3699,4095,4095
1,2,207922,0.92,0.74,0.82,-1.18,3.73,2.86,3853,3698,4095,4095
1,2,207934,0.94,0.73,0.82,-1,5.18,1.68,3869,3697,4095,4095
1,2,207946,0.91,0.73,0.83,-1.39,5.83,1.56,3855,3696,4095,4095
1,2,207958,0.91,0.73,0.83,-0.64,6.49,-0.07,3856,3697,4095,4095
1,2,207970,0.93,0.74,0.83,-1.38,5.69,-2.53,3877,3699,4095,4095
1,2,207982,0.95,0.74,0.84,-3.35,5.01,-5.37,3821,3696,4095,4095
1,2,207994,0.96,0.75,0.82,-2.98,2.41,-7.34,3850,3702,4095,4095
1,2,208006,0.95,0.76,0.84,-3.41,2.24,-6.9,3831,3696,4095,4095
1,2,208018,0.94,0.75,0.84,-3.18,1.95,-1.71,3872,3697,4095,4095
1,2,208030,0.96,0.75,0.86,-2.64,2.28,2.72,3854,3696,4095,4095
1,2,208042,0.94,0.75,0.84,-2.19,1.85,5.61,3879,3728,4095,4095
1,2,208054,0.89,0.74,0.87,-1.58,1.45,8.77,3904,3711,4095,4095
1,2,208066,0.9,0.73,0.85,-1.04,0.49,9.49,3872,3718,4095,4095
1,2,208078,0.9,0.72,0.84,-1.87,0.64,6.43,3875,3705,4095,4095
1,2,208090,0.9,0.71,0.85,-1.21,-1.77,1.9,3865,3708,4095,4095
1,2,208102,0.9,0.73,0.84,-1.64,-3.91,-2.35,3877,3711,4095,4095
1,2,208114,0.92,0.73,0.85,-2.05,-5.95,-5.83,3856,3709,4095,4095
1,2,208126,0.93,0.73,0.85,-3.21,-6.99,-6.04,3839,3707,4095,4095
1,2,208138,0.93,0.74,0.84,-2.32,-8.92,-3.35,3873,3703,4095,4095
1,2,208150,0.93,0.75,0.82,-2.61,-6.64,-1.02,3872,3702,4095,4095
1,2,208162,0.92,0.74,0.83,-1.84,-3.56,1.58,3854,3708,4095,4095
1,2,208174,0.94,0.72,0.82,-0.46,-1.31,2.51,3868,3712,4095,4095
1,2,208186,0.94,0.73,0.81,0.35,1.18,1.79,3888,3707,4095,4095
1,2,208198,0.92,0.73,0.82,-0.22,3.37,1.09,3846,3711,4095,4095
1,2,208210,0.93,0.74,0.83,-0.26,3.04,0,3859,3709,4095,4095
1,2,208222,0.94,0.75,0.83,-2,2.73,-2.9,3874,3706,4095,4095
1,2,208234,0.94,0.75,0.84,-2.74,1.37,-4.58,3868,3701,4095,4095
1,2,208246,0.93,0.75,0.83,-2.9,-0.67,-4.1,3858,3706,4095,4095
1,2,208258,0.93,0.75,0.84,-3.99,0.6,-3.06,3886,3701,4095,4095
1,2,208270,0.94,0.74,0.83,-1.38,1.4,-1.98,3885,3700,4095,4095
1,2,208282,0.94,0.74,0.84,-0.66,2.82,0.08,3814,3705,4095,4095
1,2,208294,0.92,0.75,0.86,-0.51,1.24,3.03,3876,3701,4095,4095
1,2,208306,0.91,0.75,0.85,-0.95,-2,4.16,3777,3696,4095,4095
1,2,208318,0.93,0.74,0.84,-2.4,-5.11,3.27,3865,3699,4095,4095
1,2,208330,0.93,0.73,0.84,-1.45,-8.12,0.42,3866,3701,4095,4095
1,2,208342,0.91,0.74,0.83,-2.13,-7.92,-1.66,3858,3699,4095,4095
1,2,208354,0.88,0.72,0.84,-2.89,-8.34,-0.32,3824,3699,4095,4095
1,2,208366,0.91,0.76,0.84,-1.85,-8.98,-0.12,3888,3699,4095,4095
1,2,208378,0.93,0.75,0.82,-2.71,-7.01,-0.71,3869,3697,4095,4095
1,2,208390,0.97,0.8,0.89,3.55,-11.83,-2.03,3866,3697,4095,4095
1,2,208402,0.93,0.69,0.79,-5.71,-4.76,-1.38,3871,3703,4095,4095
1,2,208414,0.96,0.74,0.8,-2.17,-5.69,-2.01,3850,3699,4095,4095
1,2,208426,0.95,0.73,0.8,-2.14,-1.19,-1.66,3870,3699,4095,4095
1,2,208438,0.94,0.73,0.81,-0.2,2.7,-0.19,3857,3705,4095,4095
2,2,10137,-0.03,0,0.94,-1.04,0.46,0.28,4004,3682,4095,4095
2,2,10149,0,0.01,0.96,-0.27,1.31,0.45,4003,3683,4095,4095
2,2,10161,0.02,0.02,0.94,-0.72,0.3,-0.11,4007,3685,4095,4095
2,2,10173,-0.01,0.01,0.93,-1.01,-0.89,-0.6,4010,3686,4095,4095
2,2,10185,0,0,0.96,-0.6,-1.3,-1.18,3995,3684,4095,4095
2,2,10197,0.01,0.01,0.94,-0.02,-0.78,-1.94,4009,3678,4095,4095
2,2,10209,-0.01,0.02,0.93,-0.2,-1.42,-1.41,3998,3687,4095,4095
2,2,10221,-0.01,0.02,0.94,-1.04,-1.27,-0.34,3987,3689,4095,4095
2,2,10233,0,0.01,0.95,-1.23,-0.67,0.71,3999,3680,4095,4095
2,2,10245,0.01,0.01,0.94,-1.46,-0.81,1.19,4022,3683,4095,4095
2,2,10257,0,0.01,0.93,-1.21,-0.49,0.5,4010,3683,4095,4095
2,2,10269,0.02,0.01,0.94,-1.18,-0.26,-0.34,4007,3684,4095,4095
2,2,10281,0.02,0.02,0.94,-0.65,0.33,-1.73,4035,3682,4095,4095
2,2,10293,0.01,0.02,0.93,-1.04,0.32,-1.82,3984,3687,4095,4095
2,2,10305,0.02,0.03,0.92,-1.14,-0.99,-2.05,4016,3683,4095,4095
2,2,10317,0,0.01,0.93,-1.72,-1.42,-0.19,3989,3685,4095,4095
2,2,10329,0.01,0.02,0.95,-0.62,0.27,1.14,4011,3685,4095,4095
2,2,10341,0.01,0.02,0.94,-0.56,0.5,2.67,4035,3691,4095,4095
2,2,10353,0.01,0.01,0.94,-1.35,0.14,2.62,4015,3681,4095,4095
2,2,10365,0.02,0.02,0.95,-1.52,0.82,1.96,4010,3688,4095,4095
2,2,10377,0.01,0,0.94,-1.55,-0.73,0.73,3998,3689,4095,4095
