id,gesture_name,timestamp,ax,ay,az,gx,gy,gz,p0,p1,p2,p3
1,idle,1066413,0.01,-0.04,0.82,-0.42,0.41,0.16,4095,4095,4095,4095
1,idle,1066425,0.02,-0.05,0.82,0.12,0.39,0.06,4095,4095,4095,4095
1,idle,1066437,0.03,-0.03,0.81,-0.25,0.17,-0.25,4095,4095,4095,4095
1,idle,1066449,0.04,-0.02,0.84,0.15,0.36,0.12,4095,4095,4095,4095
1,idle,1066461,0.03,-0.02,0.83,0.25,0.10,-0.25,4095,4095,4095,4095
1,idle,1066473,0.03,-0.02,0.84,0.45,0.12,-0.34,4095,4095,4095,4095
1,idle,1066485,0.03,-0.02,0.82,0.04,0.44,-0.33,4095,4095,4095,4095
1,idle,1066497,0.03,-0.01,0.83,0.05,0.10,-0.17,4095,4095,4095,4095
1,idle,1066509,0.03,-0.02,0.83,0.05,0.23,-0.16,4095,4095,4095,4095
1,idle,1066521,0.02,-0.03,0.83,-0.07,0.50,-0.01,4095,4095,4095,4095
1,idle,1066533,0.02,-0.04,0.83,0.09,0.15,-0.19,4095,4095,4095,4095
1,idle,1066545,0.03,-0.03,0.82,0.51,0.44,-0.17,4095,4095,4095,4095
1,idle,1066557,0.03,-0.02,0.83,0.34,0.21,-0.30,4095,4095,4095,4095
1,idle,1066569,0.03,-0.03,0.83,0.24,0.29,0.06,4095,4095,4095,4095
1,idle,1066581,0.03,-0.02,0.83,0.19,0.17,-0.30,4095,4095,4095,4095
1,idle,1066593,0.03,-0.02,0.83,-0.02,0.33,-0.07,4095,4095,4095,4095
1,idle,1066605,0.03,-0.02,0.83,-0.28,0.03,-0.25,4095,4095,4095,4095
1,idle,1066617,0.03,-0.02,0.84,0.33,0.39,-0.08,4095,4095,4095,4095
1,idle,1066629,0.03,-0.02,0.83,0.44,0.52,-0.16,4095,4095,4095,4095
1,idle,1066641,0.04,-0.02,0.82,-0.04,0.43,-0.14,4095,4095,4095,4095
1,idle,1066653,0.04,-0.03,0.83,-0.27,0.46,-0.19,4095,4095,4095,4095
1,idle,1066665,0.03,-0.03,0.83,0.15,0.47,-0.17,4095,4095,4095,4095
1,idle,1066677,0.03,-0.02,0.83,-0.04,0.50,0.09,4095,4095,4095,4095
1,idle,1066689,0.03,-0.02,0.83,-0.01,0.35,-0.27,4095,4095,4095,4095
1,idle,1066701,0.03,-0.02,0.83,0.04,0.15,-0.11,4095,4095,4095,4095
1,idle,1066713,0.03,-0.03,0.83,0.16,0.35,-0.01,4095,4095,4095,4095
1,idle,1066725,0.03,-0.02,0.84,0.09,0.18,-0.39,4095,4095,4095,4095
1,idle,1066737,0.03,-0.02,0.84,-0.05,0.47,0.04,4095,4095,4095,4095
1,idle,1066749,0.03,-0.02,0.83,-0.04,0.12,-0.02,4095,4095,4095,4095
1,idle,1066761,0.03,-0.02,0.83,0.28,0.15,0.15,4095,4095,4095,4095
1,idle,1066773,0.03,-0.02,0.83,0.18,0.09,-0.20,4095,4095,4095,4095
1,idle,1066785,0.02,-0.03,0.83,-0.30,0.23,-0.48,4095,4095,4095,4095
1,idle,1066797,0.02,-0.04,0.82,0.21,0.39,-0.23,4095,4095,4095,4095
1,idle,1066809,0.02,-0.03,0.82,-0.24,0.06,-0.42,4095,4095,4095,4095
1,idle,1066821,0.02,-0.04,0.83,0.25,-0.03,-0.91,4095,4095,4095,4095
1,idle,1066833,0.03,-0.03,0.83,0.73,0.21,-0.92,4095,4095,4095,4095
1,idle,1066845,0.03,-0.02,0.83,0.73,-0.03,-1.12,4095,4095,4095,4095
1,idle,1066857,0.03,-0.01,0.83,0.71,-0.05,-0.80,4095,4095,4095,4095
1,idle,1066869,0.03,-0.02,0.83,0.39,0.47,-0.81,4095,4095,4095,4095
1,idle,1066881,0.03,-0.02,0.84,0.15,0.33,-0.63,4095,4095,4095,4095
1,idle,1066893,0.04,-0.02,0.83,0.02,0.23,-0.69,4095,4095,4095,4095
1,idle,1066905,0.03,-0.02,0.83,0.67,0.17,-0.49,4095,4095,4095,4095
1,idle,1066917,0.03,-0.02,0.83,0.57,0.29,-0.42,4095,4095,4095,4095
1,idle,1066929,0.03,-0.02,0.83,0.05,0.21,-0.23,4095,4095,4095,4095
1,idle,1066941,0.03,-0.03,0.82,-0.11,0.21,-0.72,4095,4095,4095,4095
1,idle,1066953,0.03,-0.02,0.83,0.21,0.36,-0.63,4095,4095,4095,4095
1,idle,1066965,0.02,-0.03,0.82,0.47,-0.02,-0.10,4095,4095,4095,4095
1,idle,1066977,0.04,-0.02,0.84,0.45,-0.06,-0.60,4095,4095,4095,4095
1,idle,1066989,0.04,-0.01,0.82,0.45,0.46,-0.11,4095,4095,4095,4095
1,idle,1067001,0.03,-0.03,0.82,-0.17,0.32,-0.27,4095,4095,4095,4095
1,idle,1067013,0.04,-0.03,0.83,0.09,0.35,-0.37,4095,4095,4095,4095
1,idle,1067025,0.03,-0.03,0.83,0.71,0.24,-0.23,4095,4095,4095,4095
1,idle,1067037,0.03,-0.02,0.83,0.25,0.21,0.19,4095,4095,4095,4095
1,idle,1067049,0.04,-0.03,0.84,-0.37,0.29,-0.25,4095,4095,4095,4095
1,idle,1067061,0.03,-0.03,0.83,-0.28,0.35,-0.28,4095,4095,4095,4095
1,idle,1067073,0.03,-0.03,0.83,-0.01,0.14,-0.01,4095,4095,4095,4095
1,idle,1067085,0.04,-0.02,0.83,0.39,0.21,-0.25,4095,4095,4095,4095
1,idle,1067097,0.03,-0.03,0.84,-0.04,0.23,-0.16,4095,4095,4095,4095
1,idle,1067109,0.03,-0.02,0.83,0.09,0.15,-0.23,4095,4095,4095,4095
1,idle,1067121,0.03,-0.02,0.83,0.31,0.20,-0.10,4095,4095,4095,4095
1,idle,1067133,0.04,-0.02,0.83,0.02,0.15,-0.27,4095,4095,4095,4095
1,idle,1067145,0.04,-0.02,0.83,0.13,0.38,0.15,4095,4095,4095,4095
1,idle,1067157,0.04,-0.02,0.84,-0.08,0.27,-0.04,4095,4095,4095,4095
1,idle,1067169,0.04,-0.02,0.84,-0.01,0.15,0.04,4095,4095,4095,4095
1,idle,1067181,0.03,-0.03,0.84,-0.10,0.24,0.04,4095,4095,4095,4095
1,idle,1067193,0.03,-0.03,0.82,0.28,0.47,0.16,4095,4095,4095,4095
1,idle,1067205,0.03,-0.03,0.84,0.24,0.18,0.16,4095,4095,4095,4095
1,idle,1067217,0.03,-0.02,0.83,-0.01,0.35,0.13,4095,4095,4095,4095
1,idle,1067229,0.02,-0.03,0.83,-0.27,0.33,-0.07,4095,4095,4095,4095
1,idle,1067241,0.03,-0.04,0.83,0.19,0.44,-0.28,4095,4095,4095,4095
1,idle,1067253,0.03,-0.03,0.83,0.30,0.24,-0.14,4095,4095,4095,4095
1,idle,1067265,0.03,-0.02,0.83,0.45,0.17,0.02,4095,4095,4095,4095
1,idle,1067277,0.04,-0.02,0.83,-0.33,0.30,-0.16,4095,4095,4095,4095
1,idle,1067289,0.03,-0.03,0.83,-0.22,0.23,-0.22,4095,4095,4095,4095
1,idle,1067301,0.04,-0.02,0.83,-0.08,0.17,-0.13,4095,4095,4095,4095
1,idle,1067313,0.03,-0.03,0.83,0.12,0.21,0.31,4095,4095,4095,4095
1,idle,1067325,0.06,0.06,0.84,0.70,0.49,0.83,4095,4095,4095,4095
1,idle,1067337,-0.20,0.12,0.59,12.80,-16.96,4.57,4095,4095,4095,4095
