ax_mean,ax_min,ax_median,ay_mean,ay_min,ay_median,gy_std,gy_range,gz_std,gz_min,p1_mean,p1_max,p1_median,p2_mean,p2_min,p2_max,p2_median,p3_mean,p3_std,p3_min,p3_max,p3_range,p3_median,ax_rms,ax_energy,ay_rms,ay_energy,gy_rms,gy_zcr,gz_rms,p1_rms,p1_energy,p2_rms,p2_energy,p3_rms,p3_energy,p3_kurtosis,ax_fft_mean,ax_fft_std,ax_fft_max,ay_fft_mean,ay_fft_std,gy_fft_mean,gy_fft_std,gy_fft_max,gz_fft_mean,gz_fft_std,acc_magnitude_max,gyro_magnitude_mean,corr_ax_az,p_diff_01,p_diff_02,p_diff_03,p_diff_12,p_diff_23,p_total_mean,p_total_min,p_active_sensors_mean,p_active_sensors_max,p_variance_across,gy_peak_count,gy_peak_interval_mean,gesture_name
-0.8904,-0.96,-0.95,-0.7437,-0.83,-0.8,0.6744483004649059,4.33,0.3503132740847826,-1.93,4072.7,4095.0,4095.0,4078.94,3825.0,4095.0,4095.0,4069.16,102.27812278292951,3663.0,4095.0,432.0,4095.0,0.9194367841238462,0.8453640000000001,0.7758227890439932,0.6019010000000002,0.6824653837375197,0.51,0.735662286650607,4073.6565073653423,16594677.34,4079.4353212178767,16641792.54,4070.445174670702,16568523.92,11.731069848118516,3.379282204580418,12.344961230469947,89.03999999999999,3.0234335445341007,10.312997508085898,6.094779285470135,3.190588262594244,14.108820212708313,4.165104639337158,8.86665412336424,1.4831722759005441,1.4565401730201115,0.9678724509567406,17.41,11.17,20.95,-6.24,9.78,16310.91,15200.0,0.24,4.0,1058.650625,28.0,3.5185185185185186,4
-0.9475,-0.96,-0.95,-0.799,-0.82,-0.8,0.16500239392202767,0.74,0.26017693979290324,-1.23,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.9475172821642885,0.897789,0.7990231536069529,0.6384380000000002,0.16790771274721125,0.48,0.6552663580560198,4095.0,16769025.0,4095.0,16769025.0,4095.0,16769025.0,0.0,1.9386100692446757,13.258819366724293,94.74999999999999,1.6479149279761802,11.178920895603177,1.5163527927324614,0.7641558793678583,4.0029455222168435,3.4405918771806494,8.199454831553043,1.4732956254601453,1.33739622939264,-0.023726545298231913,0.0,0.0,0.0,0.0,0.0,16380.0,16380.0,0.0,0.0,0.0,29.0,3.4642857142857144,idle
-0.7271000000000001,-0.96,-0.94,-0.6431000000000001,-0.82,-0.8,1.4028545006521527,8.81,1.6835038580294375,-3.12,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.8211595460079606,0.6743029999999999,0.6978832280546654,0.4870410000000001,1.4668377551726708,0.38,1.683819467757752,4095.0,16769025.0,4095.0,16769025.0,4095.0,16769025.0,0.0,3.2230729609837034,10.483446603487602,72.71,2.5421114565552156,9.143074392262744,12.12172058067174,9.303382511974831,43.836647692187945,11.34518801320085,12.433076246252325,1.4732956254601453,2.2763636081136354,0.9983703186715909,-28.23,-28.23,-28.23,0.0,0.0,16351.77,16234.0,0.25,1.0,613.051875,22.0,4.476190476190476,idle
-0.2888,-0.96,-0.08499999999999999,-0.3389999999999999,-0.81,-0.19,5.016542509537819,27.48,6.782434880630996,-27.26,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.4795247647410924,0.22994400000000004,0.4328163582860519,0.18733000000000005,5.218714496885225,0.2,6.782846231487191,4095.0,16769025.0,4095.0,16769025.0,4095.0,16769025.0,0.0,2.4181847766194817,5.047659099634779,28.880000000000003,1.9861040927902625,5.126121977928518,35.964305496267244,40.459669476790864,175.8796887552504,37.20831754757044,56.71404098879889,1.4732956254601453,7.027486799468018,0.981183799415497,-86.76,-86.76,-86.76,0.0,0.0,16293.24,16220.0,0.75,1.0,1926.7275,12.0,7.181818181818182,idle
-0.0664,-0.2,-0.07,-0.1875,-0.31,-0.19,5.683549182509113,27.48,6.833045423528223,-27.26,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.08135109095765096,0.006618000000000001,0.19168985366993216,0.036745,5.88554627880879,0.09,6.867115260427774,4095.0,16769025.0,4095.0,16769025.0,4095.0,16769025.0,0.0,0.4537717768977616,0.9469863644694405,6.640000000000001,0.6417163317786359,2.603516880976302,39.98248892877376,45.81438594001325,178.5094768266128,40.355198560423794,55.98050043674824,1.1707262703125783,8.105586317923105,-0.2028147454531268,-115.57,-115.57,-115.57,0.0,0.0,16264.43,16205.0,1.0,1.0,2565.474375,7.0,14.833333333333334,1
0.008100000000000001,-0.03,0.01,0.0054,-0.04,0.01,3.8239516942555642,16.0,3.713383916322146,-11.62,3684.69,3713.0,3684.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.020273134932713294,0.00041100000000000007,0.019078784028338912,0.000364,4.451464478124025,0.13,3.7185899209243285,3684.6930034943207,13576962.53,4095.0,16769025.0,4095.0,16769025.0,0.0,0.16599587056937376,0.141765196553723,0.81,0.14800515364412503,0.13140195772810598,23.053959900186424,44.37742670458254,227.88,20.137321205571695,31.320042826657062,0.9816312953446421,5.26807309804049,-0.1818010344357592,322.05,-88.26,-88.26,-410.31,0.0,15881.43,15848.0,2.0,2.0,28543.389375,9.0,12.0,2
0.008,-0.03,0.01,0.0014000000000000002,-0.04,0.0,5.052714220099926,20.299999999999997,3.8622505045633693,-11.62,3683.92,3713.0,3683.0,4095.0,4095.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.01870828693386971,0.00035000000000000005,0.016431676725154984,0.00027,5.202669410985095,0.07,3.862639253153212,3683.923232099171,13571290.38,4095.0,16769025.0,4095.0,16769025.0,0.0,0.16254670251007827,0.12158359059963691,0.8,0.12571168721140483,0.10673599064262212,27.594662711778106,45.81458154150491,225.32865200055633,21.48965461145929,32.101017003830066,0.9405317644821997,6.119727068748453,-0.23395449181337544,324.06,-87.02,-87.02,-411.08,0.0,15881.9,15834.0,2.0,2.0,28682.16375,9.0,7.75,2
-0.0034,-0.08,0.0,-0.030299999999999997,-0.2,0.0,5.8999717795935265,28.5,9.263386732723621,-35.55,3714.74,3807.0,3686.0,4000.55,3776.0,4095.0,4095.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.02694438717061496,0.0007260000000000001,0.06621933252457322,0.004385000000000001,6.567563627404001,0.08,10.194639768034964,3715.0367239100074,13801497.86,4003.0324193041456,16024268.55,4095.0,16769025.0,0.0,0.21273934231964575,0.16862375938581306,0.8080455978183725,0.3722536877029261,0.6257532996249978,38.83846810828902,60.3002150825469,288.5,49.671928477150544,98.6802844815561,0.9743715923609432,9.4611335574527,-0.14657755569378533,264.96,-20.85,-115.3,-285.81,-94.45,15789.99,15536.0,2.31,3.0,24803.786875,12.0,6.818181818181818,2
-0.007599999999999998,-0.12,0.0,-0.0632,-0.2,-0.05,9.207432660085004,40.870000000000005,9.74019566743913,-35.55,3765.55,3807.0,3783.0,3847.13,3763.0,4095.0,3791.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.042731721238442995,0.0018260000000000001,0.08131420540102449,0.0066120000000000016,9.211219517523181,0.12,11.896575473639462,3765.7596750191055,14180945.93,3849.0070914457924,14814855.59,4095.0,16769025.0,0.0,0.32889404123636384,0.2831761106435588,1.485246573259433,0.44637477720135876,0.9279965292383571,50.74381511697161,76.90976223714777,427.2187997916636,62.56996075872599,122.08009848722884,1.0212737145349429,13.541043236542642,0.140385972122758,150.41,68.83,-179.04,-81.58,-247.87,15623.64,15273.0,2.81,3.0,18731.12875,11.0,8.0,2
0.0035000000000000005,-0.12,0.01,-0.0338,-0.13,-0.04,10.110624298726563,43.349999999999994,8.181707110377394,-20.39,3785.49,3811.0,3785.0,3789.2,3763.0,3803.0,3791.0,4095.0,0.0,4095.0,4095.0,0.0,4095.0,0.05330103188494572,0.002841,0.056956123463592565,0.0032439999999999995,10.25292880107923,0.12,9.232360586545566,3785.4937419047465,14329962.87,3789.203515252249,14358063.28,4095.0,16769025.0,0.0,0.37141347003965,0.3838958638395392,1.678126667367744,0.3439249150717857,0.565876004786265,53.71520532830553,88.97334329189826,438.85979185939283,55.38110703445801,85.35672882460942,1.0304853225543777,13.54589712397536,0.1847406064512595,86.23,82.52,-223.28,-3.71,-305.8,15541.41,14871.0,3.0,3.0,17698.593125,10.0,9.0,3
